well_id,well_name,lat,long,aquifer_id
DWVP01,"Dagbriboari",10.36851,-0.46086,1
DWVP02,"Tamboku",10.34684,-0.48051,1
DWVP03,"Dintigi",10.21854,-0.59572,1
DWVP04,"Kokoubila",10.12421,-0.80187,1
DWVP05,"Kpobul",10.1407,-0.41789,1
DWVP06,"Tanyelli",10.02982,-0.39756,1
DWVP07,"Salinwia",10.15202,-0.135,1
DWVP09,"Saameni",10.46029,-0.61123,1
DWVP10,"Salikpa",10.2821,-0.1158,1
HAP05,"Janga",10.02329,-0.972,1
HAP11,"Nalerigu SHS",10.51464,-0.39249,1
HAP14,"Tuuni",10.29872,-0.36612,1
WVB11,"Bugya-Pala",10.28598,-0.74478,1
WVB12,"Tinguli",9.95232,-0.74711,1
